Building#,Altitude,BuildingHeight,BuildingWidth,NestHeight,SquareArea,AveNoise,temp,prec,win,nd,npp,pop,lon,lat,NestCount,NestD1,AvilNest,AvaNR2,gdpp,NestHeightR,DensityR,AvaNR,light,urban,ID
Chaoyang Jiayuan 3,639,18,87,13.5,1740,53,15.2,62.83,2.7,5618,-8.89E-11,286.9842529,116.65,41.2,2,0,7,0.24137931,2.668889209,3.74985,0.022988506,0.08045977,59,0.817656457424164,11741
Chenguang Jiayuan 10,0,18,55,14,1650,40,18.9,89.5,2.95,4048,-1.09E-10,2112.590332,118.1,39.57,7,0.5,26,0.472727273,9.342985078,4.3762,0.127272727,0.472727273,63,0.930342793464661,11840
Chenguang Jiayuan 12,0,18,55,13.5,1650,40,18.9,89.5,2.95,4048,-1.09E-10,2112.590332,118.1,39.57,2,1,10,0.545454545,9.342985078,2.7,0.036363636,0.181818182,63,0.930342793464661,11840
Chenguang Jiayuan 13,0,18,55,13.5,1650,40,18.9,89.5,2.95,4048,-1.09E-10,2112.590332,118.1,39.57,1,1,1,0.109090909,9.342985078,13.5,0.018181818,0.018181818,63,0.930342793464661,11840
Chenguang Jiayuan 14,0,18,60,10.5,2800,40,18.9,89.5,2.95,4048,-1.09E-10,2112.590332,118.1,39.57,10,1,31,0.516666667,9.342985078,3.4249,0.166666667,0.516666667,63,0.930342793464661,11840
Chenguang Jiayuan 15,0,18,60,9,2800,40,18.9,89.5,2.95,4048,-1.09E-10,2112.590332,118.1,39.57,1,1,8,0.8,9.342985078,1.125,0.016666667,0.133333333,63,0.930342793464661,11840
Chenguang Jiayuan 4,0,18,55,13,3150,40,18.9,89.5,2.95,4048,-1.09E-10,2112.590332,118.1,39.57,3,1,22,0.8,9.342985078,1.8019,0.054545455,0.4,63,0.930342793464661,11840
Chenguang Jiayuan 8,0,18,60,10.5,3150,40,18.9,89.5,2.95,4048,-1.09E-10,2112.590332,118.1,39.57,2,1,10,0.5,9.342985078,2.1,0.033333333,0.166666667,63,0.930342793464661,11840
Chenxi Garden,701,18,69,14,1449,46,17.52,58.83,2.53,3929,1.14065555611997e-10,924.5044556,113.59,37.87,6,1,15,0.434782609,5.629102658,5.2,0.086956522,0.217391304,62,0.909726500511169,11438
Chenxin Garden Phase I 12,1035,57,50,18.5,600,57,15.03,49,3.02,2055,-3.56E-11,3164.610352,113.27,40.06,5,0,33,2.97,4.411076668,2.6527,0.1,0.66,63,0.947630286216736,11340
Chenxin Garden Phase I 13,1035,48,65,15.5,1500,56,15.03,49,3.02,2055,-3.56E-11,3164.610352,113.27,40.06,14,0,56,3.446153846,4.411076668,3.73215,0.215384615,0.861538462,63,0.947630286216736,11340
Chenxin Garden Phase I 14,1031,21,30,14.75,1000,54,15.03,49,3.02,2055,-3.56E-11,3164.610352,113.27,40.06,12,0,35,2.041666667,4.411076668,5.5752,0.4,1.166666667,63,0.947630286216736,11340
Chengdong Community,921,18,80,13.5,960,50,16.53,59.5,2.43,3272,4.80922697498887e-11,3050.311768,111.16,37.52,4,0,12,0.45,4.525735553,3.753,0.05,0.15,58,0.87786078453064,11138
City Garden,253.4,20.1,62.5,13.2,1328.8,50.2,19.3,64.22,2.555,6948.1,6.88668677639726e-10,2635.711743,114.425,37.303,16,0.3,110,1.1792,3.846571398,2.51787,0.256,1.76,8,0.73396223783493,11437
Shengdi Lijiang Building 3,89,36,40,19.5,5500,60,20.12,66.17,2.32,3114,3.52209678089466e-10,4894.630859,114.42,37.99,46,1,90,2.475,5.282647592,10.33353,1.15,2.25,60,0.858714699745178,11438
Shengdi Lijiang Building 4,89,54,50,25.92857143,6500,71,20.12,66.17,2.32,3114,3.52209678089466e-10,4894.630859,114.42,37.99,50,1,140,3.6,5.282647592,6.45,1,2.8,60,0.858714699745178,11438
Chixin Community Building 22,1036,19,60,12,1400,46,14.98,48.83,3,2055,-3.56E-11,3164.610352,113.28,40.06,4,0,17,0.566666667,4.411076668,2.500133333,0.066666667,0.283333333,63,0.931608021259308,11340
Chunfeng Jiayuan,1119,24,60,10,1350,41.7,17.37,71.5,1.68,3883,1.43558154253043e-09,4892.974121,105.75,34.58,2,0,12,0.6,2.23442611,1.667,0.033333333,0.2,60,0.854923784732819,10635
